    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                1 1.611e-06 |
  2 |   2                2 1.064e-06 |
  3 |   3                4 1.134e-06 |
  4 |   3                4 1.089e-06 |
  5 |   4                6 1.083e-06 |
  6 |   4                7 1.111e-06 |
  7 |   5                9 1.125e-06 |
  8 |   5               11 1.237e-06 |
  9 |   5                9 1.123e-06 |
 10 |   6               12 1.225e-06 |
 11 |   6               14 6.580e-07 |
 12 |   6               12 3.220e-07 |
 13 |   7               16 4.100e-07 |
 14 |   7               19 3.930e-07 |
 15 |   7               19 3.750e-07 |
 16 |   7               15 3.320e-07 |
 17 |   8               19 3.940e-07 |
 18 |   8               22 3.680e-07 |
 19 |   8               23 4.720e-07 |
 20 |   8               20 4.000e-07 |
 21 |   9               25 6.810e-07 |
 22 |   9               29 6.550e-07 |
 23 |   9               30 5.710e-07 |
 24 |   9               28 5.670e-07 |
 25 |   9               21 4.720e-07 |
 26 |  10               24 6.240e-07 |
 27 |  10               27 6.180e-07 |
 28 |  10               26 6.590e-07 |
 29 |  10               24 6.070e-07 |
 30 |  10               20 4.110e-07 |
 31 |  11               23 5.240e-07 |
 32 |  11               25 4.570e-07 |
 33 |  11               23 6.970e-07 |
 34 |  12               26 5.780e-07 |
 35 |  12               28 6.190e-07 |
 36 |  12               27 3.900e-07 |
 37 |  12               24 3.600e-07 |
 38 |  13               27 3.650e-07 |
 39 |  13               29 3.770e-07 |
 40 |  13               27 3.640e-07 |
 41 |  14               31 3.870e-07 |
 42 |  14               34 4.140e-07 |
 43 |  14               33 4.240e-07 |
 44 |  14               29 3.800e-07 |
 45 |  15               32 3.970e-07 |
 46 |  15               34 4.210e-07 |
 47 |  15               33 4.190e-07 |
 48 |  15               29 3.890e-07 |
 49 |  16               31 4.340e-07 |
 50 |  16               31 4.440e-07 |
 55 |  19               37 1.271e-06 |
 60 |  21               43 1.056e-06 |
 65 |  23               48 6.870e-07 |
 70 |  25               53 7.010e-07 |
 75 |  26               59 7.030e-07 |
 80 |  27               68 9.050e-07 |
 85 |  28               71 9.000e-07 |
 90 |  29               66 9.920e-07 |
 95 |  31               66 9.280e-07 |
100 |  34               72 9.030e-07 |
110 |  39               83 1.370e-06 |
120 |  42               93 1.036e-06 |
130 |  44              104 1.132e-06 |
140 |  46              109 1.118e-06 |
150 |  48              112 1.346e-06 |
160 |  51              106 1.258e-06 |
170 |  56              117 1.233e-06 |
180 |  59              129 1.326e-06 |
190 |  61              141 1.649e-06 |
200 |  63              149 1.692e-06 |
220 |  70              144 1.331e-05 |
240 |  78              168 1.979e-06 |
260 |  82              173 1.951e-06 |
280 |  88              180 2.057e-06 |
300 |  96              203 2.258e-06 |
320 | 100              207 2.301e-06 |
340 | 109              229 2.431e-06 |
360 | 114              239 2.529e-06 |
380 | 118              258 2.972e-06 |
400 | 127              262 3.767e-06 |
420 | 132              279 4.814e-06 |
440 | 137              283 3.159e-06 |
460 | 145              299 3.112e-06 |
480 | 151              321 3.280e-06 |
500 | 157              323 3.208e-06 |
520 | 165              341 3.409e-06 |
540 | 170              373 3.798e-06 |
560 | 177              368 5.015e-06 |
580 | 184              390 4.008e-06 |
600 | 187              399 3.982e-06 |
620 | 194              408 4.187e-06 |
640 | 202              432 4.322e-06 |
660 | 206              435 4.382e-06 |
680 | 213              446 4.378e-06 |
700 | 221              465 4.541e-06 |
720 | 226              480 5.779e-06 |
740 | 236              502 4.966e-06 |
760 | 240              514 4.940e-06 |
780 | 244              520 5.123e-06 |
800 | 254              543 6.373e-06 |
--- + --- ---------------- --------- +
