    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                1 1.656e-06 |
  2 |   2                2 1.115e-06 |
  3 |   3                4 1.067e-06 |
  4 |   3                7 1.186e-06 |
  5 |   4               12 1.337e-06 |
  6 |   4               21 1.692e-06 |
  7 |   5               35 1.851e-06 |
  8 |   5               59 2.474e-06 |
  9 |   5               99 3.213e-06 |
 10 |   6              166 4.993e-06 |
 11 |   6              278 2.393e-06 |
 12 |   6              464 3.047e-06 |
 13 |   7              776 4.934e-06 |
 14 |   7             1296 7.974e-06 |
 15 |   7             2164 1.316e-05 |
 16 |   7             3613 2.196e-05 |
 17 |   8             6030 3.623e-05 |
 18 |   8            10064 6.000e-05 |
 19 |   8            16794 1.000e-04 |
 20 |   8            28023 1.856e-04 |
 21 |   9            46758 2.770e-04 |
 22 |   9            78012 4.487e-04 |
 23 |   9           130090 7.021e-04 |
 24 |   9           216969 1.124e-03 |
 25 |   9           359707 1.893e-03 |
 26 |  10           597824 3.154e-03 |
 27 |  10           995047 5.216e-03 |
 28 |  10          1655499 9.279e-03 |
 29 |  10          2757260 1.481e-02 |
 30 |  10          4617502 2.409e-02 |
 31 |  11          7716364 4.059e-02 |
 32 |  11         12813314 6.703e-02 |
 33 |  11         21329527 1.119e-01 |
 34 |  12         35520858 1.846e-01 |
 35 |  12         59124729 3.184e-01 |
 36 |  12         98503441 5.132e-01 |
 37 |  12        164103137 8.558e-01 |
 38 |  13        274843839 1.445e+00 |
 39 |  13        459339192 2.470e+00 |
 40 |  13        766741706 4.061e+00 |
 41 |  14       1280450790 6.817e+00 |
 42 |  14       2137774080 1.147e+01 |
 43 |  14       3567725220 1.946e+01 |
 44 |  14       5919245371 3.404e+01 |
 45 |  15       9841717643 5.630e+01 |
 46 |  15      16384861943 9.362e+01 |
 47 |  15      27264882096 1.496e+02 |
 48 |  15      43602648571 2.521e+02 |
 49 |  16      70820435199 4.180e+02 |
 50 |  16     114375988302 6.761e+02 |
